Date,Country,City,no2_mean,Longitude,Latitude
2020-01-01,AE,Abu Dhabi,18.8,54.3705762,24.4747961
2020-01-02,AE,Abu Dhabi,19.7,54.3705762,24.4747961
2020-01-03,AE,Abu Dhabi,21.5,54.3705762,24.4747961
2020-01-04,AE,Abu Dhabi,29.8,54.3705762,24.4747961
2020-01-05,AE,Abu Dhabi,11.0,54.3705762,24.4747961
2020-01-06,AE,Abu Dhabi,7.4,54.3705762,24.4747961
2020-01-07,AE,Abu Dhabi,7.4,54.3705762,24.4747961
2020-01-08,AE,Abu Dhabi,30.7,54.3705762,24.4747961
2020-01-09,AE,Abu Dhabi,31.1,54.3705762,24.4747961
2020-01-10,AE,Abu Dhabi,9.6,54.3705762,24.4747961
2020-01-11,AE,Abu Dhabi,7.4,54.3705762,24.4747961
2020-01-12,AE,Abu Dhabi,6.4,54.3705762,24.4747961
2020-01-13,AE,Abu Dhabi,10.1,54.3705762,24.4747961
2020-01-14,AE,Abu Dhabi,8.7,54.3705762,24.4747961
2020-01-15,AE,Abu Dhabi,11.5,54.3705762,24.4747961
2020-01-16,AE,Abu Dhabi,16.5,54.3705762,24.4747961
2020-01-17,AE,Abu Dhabi,17.4,54.3705762,24.4747961
2020-01-18,AE,Abu Dhabi,19.2,54.3705762,24.4747961
2020-01-19,AE,Abu Dhabi,27.9,54.3705762,24.4747961
2020-01-20,AE,Abu Dhabi,17.0,54.3705762,24.4747961
2020-01-21,AE,Abu Dhabi,9.2,54.3705762,24.4747961
2020-01-22,AE,Abu Dhabi,28.8,54.3705762,24.4747961
2020-01-23,AE,Abu Dhabi,12.8,54.3705762,24.4747961
2020-01-24,AE,Abu Dhabi,5.5,54.3705762,24.4747961
2020-01-25,AE,Abu Dhabi,11.5,54.3705762,24.4747961
2020-01-26,AE,Abu Dhabi,6.9,54.3705762,24.4747961
2020-01-27,AE,Abu Dhabi,6.0,54.3705762,24.4747961
2020-01-28,AE,Abu Dhabi,7.8,54.3705762,24.4747961
2020-01-29,AE,Abu Dhabi,16.5,54.3705762,24.4747961
2020-01-30,AE,Abu Dhabi,22.4,54.3705762,24.4747961
2020-01-31,AE,Abu Dhabi,20.6,54.3705762,24.4747961
2020-02-01,AE,Abu Dhabi,22.9,54.3705762,24.4747961
2020-02-02,AE,Abu Dhabi,17.0,54.3705762,24.4747961
2020-02-03,AE,Abu Dhabi,6.9,54.3705762,24.4747961
2020-02-04,AE,Abu Dhabi,6.4,54.3705762,24.4747961
2020-02-05,AE,Abu Dhabi,14.7,54.3705762,24.4747961
2020-02-06,AE,Abu Dhabi,19.2,54.3705762,24.4747961
2020-02-07,AE,Abu Dhabi,14.7,54.3705762,24.4747961
2020-02-08,AE,Abu Dhabi,19.7,54.3705762,24.4747961
2020-02-09,AE,Abu Dhabi,26.6,54.3705762,24.4747961
2020-02-10,AE,Abu Dhabi,14.2,54.3705762,24.4747961
2020-02-11,AE,Abu Dhabi,8.3,54.3705762,24.4747961
2020-02-12,AE,Abu Dhabi,5.5,54.3705762,24.4747961
2020-02-13,AE,Abu Dhabi,6.4,54.3705762,24.4747961
2020-02-14,AE,Abu Dhabi,7.8,54.3705762,24.4747961
2020-02-15,AE,Abu Dhabi,10.6,54.3705762,24.4747961
2020-02-16,AE,Abu Dhabi,15.1,54.3705762,24.4747961
2020-02-17,AE,Abu Dhabi,28.4,54.3705762,24.4747961
2020-02-18,AE,Abu Dhabi,26.1,54.3705762,24.4747961
2020-02-19,AE,Abu Dhabi,36.6,54.3705762,24.4747961
2020-02-20,AE,Abu Dhabi,25.2,54.3705762,24.4747961
2020-02-21,AE,Abu Dhabi,9.6,54.3705762,24.4747961
2020-02-22,AE,Abu Dhabi,11.0,54.3705762,24.4747961
2020-02-23,AE,Abu Dhabi,16.0,54.3705762,24.4747961
2020-02-24,AE,Abu Dhabi,23.8,54.3705762,24.4747961
2020-02-25,AE,Abu Dhabi,29.3,54.3705762,24.4747961
2020-02-26,AE,Abu Dhabi,10.1,54.3705762,24.4747961
2020-02-27,AE,Abu Dhabi,6.0,54.3705762,24.4747961
2020-02-28,AE,Abu Dhabi,6.0,54.3705762,24.4747961
2020-02-29,AE,Abu Dhabi,7.4,54.3705762,24.4747961
2020-03-01,AE,Abu Dhabi,18.8,54.3705762,24.4747961
2020-03-02,AE,Abu Dhabi,18.3,54.3705762,24.4747961
2020-03-03,AE,Abu Dhabi,6.4,54.3705762,24.4747961
2020-03-04,AE,Abu Dhabi,5.5,54.3705762,24.4747961
2020-03-05,AE,Abu Dhabi,6.9,54.3705762,24.4747961
2020-03-06,AE,Abu Dhabi,10.1,54.3705762,24.4747961
2020-03-07,AE,Abu Dhabi,12.4,54.3705762,24.4747961
2020-03-08,AE,Abu Dhabi,14.2,54.3705762,24.4747961
2020-03-09,AE,Abu Dhabi,10.6,54.3705762,24.4747961
2020-03-10,AE,Abu Dhabi,10.6,54.3705762,24.4747961
2020-03-11,AE,Abu Dhabi,17.9,54.3705762,24.4747961
2020-03-12,AE,Abu Dhabi,16.0,54.3705762,24.4747961
2020-03-13,AE,Abu Dhabi,13.8,54.3705762,24.4747961
2020-03-14,AE,Abu Dhabi,27.0,54.3705762,24.4747961
2020-03-15,AE,Abu Dhabi,27.9,54.3705762,24.4747961
2020-03-16,AE,Abu Dhabi,15.1,54.3705762,24.4747961
2020-03-17,AE,Abu Dhabi,11.9,54.3705762,24.4747961
2020-03-18,AE,Abu Dhabi,19.2,54.3705762,24.4747961
2020-03-19,AE,Abu Dhabi,12.4,54.3705762,24.4747961
2020-03-20,AE,Abu Dhabi,12.4,54.3705762,24.4747961
2020-03-21,AE,Abu Dhabi,11.5,54.3705762,24.4747961
2020-03-22,AE,Abu Dhabi,7.8,54.3705762,24.4747961
2020-03-23,AE,Abu Dhabi,5.1,54.3705762,24.4747961
2020-03-24,AE,Abu Dhabi,4.6,54.3705762,24.4747961
2020-03-25,AE,Abu Dhabi,7.4,54.3705762,24.4747961
2020-03-26,AE,Abu Dhabi,10.6,54.3705762,24.4747961
2020-03-27,AE,Abu Dhabi,7.4,54.3705762,24.4747961
